K	pH	P
26	7.2	5.5
22	7.2	5.2
18	6.8	2.6
19	6.4	1.3
26	6.1	1.3
23	6.6	6.9
32	7.8	6.6
28	8	7.8
55	6.8	2.6
19	6	1
18	5.6	0.6
17	5.5	0.5
15	5.7	0.4
16	5.6	0.5
19	6.4	0.5
15	6.7	0.7
24	7.9	7.5
14	8.2	6.6
28	8.2	4.2
26	8.2	7.5
23	8.2	5.1
21	8.2	4
22	8	5.3
22	8.3	4.8
24	8.3	4.8
41	8.2	4
30	7.8	4.6
20	7.7	2.6
22	7.6	14.5
22	6.8	3.4
26	8	9.5
16	7.2	2.7
18	6.9	2.5
15	7.3	2.2
16	6.9	1
15	7	1.2
16	7.4	1
14	7.4	1.3
20	8	6
15	8.2	8.4
70	7.8	12.4
20	7.6	3.9
22	7.5	2
24	8.2	6.7
23	8.3	6.9
20	8.4	4.5
24	8.3	3.7
20	8.5	4.6
20	8.4	3.8
34	8.2	2.4
18	7.4	1.5
18	7.7	3.5
21	8	5.7
18	8.4	1.6
22	8	2.4
28	6.6	1.6
25	7.7	1.8
28	7.2	1.7
24	7.6	4.6
23	7.6	5.5
16	7.2	2.5
18	7.2	1.7
17	7.6	3.5
16	7.4	2.1
19	7.6	3.6
21	7.4	4
13	7.7	2.9
15	8	3.8
15	8.2	6.2
24	8.3	4.6
23	8.4	4.2
22	8.3	3
25	8.4	5.7
19	6.6	0.8
20	6.2	1.3
19	7.2	3
20	8	4.2
16	8.2	2.6
16	7.8	2
20	7.7	3.5
28	7.8	1.3
21	8	1.4
28	7.9	6.6
24	7.8	5.2
18	7.4	3.5
15	7.6	3.1
14	7.4	3
15	7.4	3.6
19	7.4	4.6
20	7.9	3.5
15	8.2	3.5
14	8.1	4.5
16	8.2	6.3
28	8.3	4.6
22	8.4	3.2
26	8.3	2.9
27	8	1.8
19	7.4	1.2
19	7.1	1.6
15	6.6	1.4
19	7.7	3.8
18	8.2	3.7
20	7.9	4.4
19	8	4.8
27	7.8	2.6
29	8	2.5
35	8.1	14.8
25	7.8	5.2
16	7.8	1.5
14	6.8	1.1
15	6.6	1.5
16	6.5	1.2
16	6.6	2.3
16	7.6	3.5
16	8.2	5.1
15	8.1	4.5
24	8.4	5.5
24	7.9	1.4
24	7.4	1
23	7.6	2.4
22	7.8	3.7
16	7.2	1.6
19	7.8	4.8
16	7.6	2.1
20	8	4.8
18	7.8	2.1
27	7.9	1.1
58	8.1	3.9
24	8	3.5
18	6.8	2.1
14	6.9	1.5
17	6.6	1.5
17	6.2	1.3
14	6.6	1.8
18	6.6	3.4
15	7.8	5.4
28	8.4	5.1
24	8.2	4.9
23	7.9	1.8
24	7.5	2
21	7.1	1.8
16	6.6	1.6
23	6.8	1.6
20	7.7	4.5
26	7.5	2
18	7	2.2
25	6.7	1.2
20	6.5	1.1
44	7.2	2.8
24	8	4.4
53	7.4	6.9
12	7.2	1.1
12	6.8	1.6
15	7.2	3.2
15	7.4	5
16	7.1	2.1
18	7.4	2.7
21	8.2	6.2
24	8.2	11.1
20	8.1	5
20	8.2	3.8
18	8.2	4.2
20	7.8	2.1
24	7.9	2.3
18	7	2.6
23	6.4	2.2
32	7.6	2.3
33	8	5.4
27	8.2	1.8
32	8.2	1.4
27	7.1	3.1
26	6.6	2.4
54	6.7	2.8
38	7.8	13.5
48	7.6	15
58	7.1	16.5
96	7.2	12.9
23	7.5	2.5
17	7.2	1.1
18	6.3	1.5
20	6.6	2.3
18	6.6	2
17	6.6	1.6
21	7.8	2.6
23	8.2	5.1
33	8	5.4
24	8.1	10.5
20	8	12.4
18	8.2	8.1
19	8.3	6
21	8.1	4.8
20	7.4	2.6
21	8	2.6
20	7.8	2.4
23	7.7	2.3
31	8.2	3.5
27	8	1.8
29	8.2	5.5
30	8.1	3.5
21	8.1	1.6
24	7.8	5.1
60	8	4.5
20	7	3.6
24	8	3.4
30	7.6	6
32	7.4	6.4
29	7.2	3.1
25	7	2.2
21	7.3	2.9
28	6.2	2.5
35	5.9	1.6
20	7.4	3.1
21	7.8	2.9
24	8.2	4.6
36	8	5.5
29	8.2	29.1
24	8.2	24
26	8.2	14.4
22	8.2	9
20	8.1	6.1
20	7.8	2.7
23	7.8	2.9
24	7.4	2.4
26	7.7	2.2
30	8.1	0.9
42	7.9	2.9
38	8.2	6.3
42	8.2	2.8
38	8.1	1.6
40	8.2	2.6
38	8.2	6.8
25	8	4.1
24	7.2	5.2
34	8	6.9
25	7.4	6
20	7.4	3.6
