N	P	K	BLOCO	Y
0	0	0	1	31.80
0	0	0	2	40.50
0	0	0	3	25.70
0	0	0	4	25.70
0	0	0	5	37.20
0	0	0	6	43.30
1	0	0	1	35.30
1	0	0	2	39.00
1	0	0	3	36.00
1	0	0	4	33.50
1	0	0	5	28.20
1	0	0	6	42.40
0	1	0	1	36.20
0	1	0	2	37.80
0	1	0	3	40.90
0	1	0	4	44.80
0	1	0	5	32.40
0	1	0	6	38.40
0	0	1	1	25.60
0	0	1	2	32.40
0	0	1	3	39.60
0	0	1	4	48.90
0	0	1	5	20.60
0	0	1	6	33.70
1	1	0	1	43.80
1	1	0	2	32.70
1	1	0	3	43.30
1	1	0	4	41.80
1	1	0	5	31.90
1	1	0	6	37.70
1	0	1	1	51.50
1	0	1	2	66.10
1	0	1	3	51.70
1	0	1	4	52.00
1	0	1	5	56.50
1	0	1	6	58.20
0	1	1	1	37.10
0	1	1	2	53.00
0	1	1	3	36.40
0	1	1	4	42.00
0	1	1	5	19.70
0	1	1	6	30.40
1	1	1	1	47.00
1	1	1	2	49.90
1	1	1	3	50.90
1	1	1	4	49.10
1	1	1	5	71.70
1	1	1	6	39.60
