Trat	Rep	fito	ipohf	mrrci	dignu	porol	amavi	cleaf	emiso	elein	combe	bidpi	gnasp
SL_1101D1	1	50	85	60	85	85	90	90	70	60	35	80	35
SL_1101D1	2	45	30	45	40	85	90	90	40	50	90	90	30
SL_1101D1	3	30	30	30	80	95	90	95	60	55	95	90	70
SL_1101D1	4	50	30	95	85	100	88	88	78	60	90	100	90
SL_1101D2	1	45	80	30	85	100	85	85	60	75	30	100	35
SL_1101D2	2	55	30	45	60	100	80	85	70	40	90	95	30
SL_1101D2	3	60	80	30	80	100	100	98	60	50	90	100	70
SL_1101D2	4	80	35	90	85	100	90	100	80	60	85	95	95
SL_1101D3	1	90	30	30	85	100	95	85	60	80	30	100	30
SL_1101D3	2	70	30	30	75	100	80	90	65	60	75	100	30
SL_1101D3	3	80	60	85	100	100	88	95	75	70	95	95	80
SL_1101D3	4	90	30	70	100	100	100	100	70	85	90	95	95
DN	1	10	30	30	100	100	80	85	65	80	50	100	30
DN	2	20	60	95	100	100	88	80	78	85	90	85	80
DN	3	15	75	30	100	100	98	85	70	60	95	85	80
DN	4	10	30	88	100	100	85	100	78	80	95	100	90
G	1	5	40	30	100	100	90	95	60	70	30	95	30
G	2	10	30	30	100	100	95	95	40	65	85	90	35
G	3	5	95	35	100	100	100	100	50	65	90	100	80
G	4	10	55	90	100	100	100	100	60	80	90	100	80
