SUP	Solo	Amostra	X	AMG	AG	AM	AF	AMF	SILTE	ARGILA	S_A	AF_AG	P	pH	K	Ca	Mg	H_Al	SB	T	V
I	LV	1	0	0.20	3.72	20.40	22.90	30.00	1.20	21.50	0.05	6.16	42.00 	4.20 	0.27 	1.40 	0.30 	5.20 	1.97 	7.17 	27.00 
I	LV	2	25	0.10	4.27	22.60	23.60	28.40	1.20	20.40	0.05	5.53	22.00 	3.80 	0.11 	0.40 	0.10 	5.80 	0.61 	6.41 	10.00 
I	LV	3	50	0.70	5.00	22.70	22.20	26.90	1.20	21.40	0.05	4.44	41.00 	4.80 	0.34 	2.40 	0.40 	4.20 	3.14 	7.34 	43.00 
I	LV	4	75	0.40	3.80	23.70	24.40	26.70	0.60	20.50	0.02	6.42	27.00 	4.00 	0.13 	0.70 	0.10 	5.20 	0.93 	6.13 	15.00 
I	LV	5	100	0.40	3.10	22.30	24.60	26.90	2.10	20.70	0.10	7.94	11.00 	4.40 	0.11 	1.40 	0.30 	4.20 	1.81 	6.01 	30.00 
I	LV	6	125	0.40	3.80	23.80	19.10	27.10	2.20	23.50	0.09	5.03	12.00 	4.00 	0.14 	0.60 	0.10 	5.20 	0.84 	6.04 	14.00 
I	LV	7	150	1.20	3.60	23.10	21.70	26.50	0.70	23.10	0.03	6.03	11.00 	4.80 	0.23 	1.60 	0.70 	3.40 	2.53 	5.93 	43.00 
I	LV	8	175	0.80	4.70	25.80	21.10	24.70	0.20	22.70	0.01	4.49	16.00 	5.40 	0.28 	3.30 	1.30 	2.50 	4.88 	7.38 	66.00 
I	LV	9	200	1.10	4.50	25.50	18.90	25.40	2.50	22.00	0.11	4.20	38.00 	4.40 	0.19 	1.60 	0.50 	5.20 	2.29 	7.49 	31.00 
I	LV	10	225	1.20	5.90	32.80	19.80	21.70	0.20	18.50	0.01	3.36	25.00 	5.20 	0.14 	2.90 	1.70 	3.10 	4.74 	7.84 	60.00 
I	LV	11	250	0.10	5.40	33.10	19.20	19.30	2.50	20.50	0.12	3.56	25.00 	4.50 	0.08 	1.30 	0.60 	4.20 	1.98 	6.18 	32.00 
I	LV	12	275	0.20	4.00	31.00	22.90	20.20	2.60	19.20	0.13	5.73	6.00 	5.10 	0.12 	1.60 	0.80 	2.50 	2.52 	5.02 	50.00 
I	LV	13	300	0.10	4.30	28.90	24.90	21.50	0.30	20.10	0.01	5.79	6.00 	4.20 	0.09 	0.90 	0.30 	4.70 	1.29 	5.99 	22.00 
I	LV	14	325	0.10	3.90	23.70	30.90	17.00	1.00	23.40	0.04	7.92	7.00 	4.50 	0.15 	1.00 	0.70 	3.40 	1.85 	5.25 	35.00 
I	LV	15	350	0.20	4.50	27.40	24.10	22.40	0.40	21.00	0.01	5.36	5.00 	4.50 	0.04 	1.10 	0.60 	3.10 	1.74 	4.84 	36.00 
I	LV	16	375	0.30	4.10	28.60	24.00	21.90	0.50	20.60	0.02	5.85	4.00 	4.50 	0.07 	1.40 	0.30 	3.40 	1.77 	5.17 	34.00 
I	LVp	17	400	0.40	5.40	28.50	29.80	13.00	3.30	19.60	0.16	5.52	4.00 	4.30 	0.13 	1.10 	0.10 	4.20 	1.33 	5.53 	24.00 
II	LVp	18	425	0.20	3.64	27.50	24.50	20.40	1.80	22.00	0.08	6.73	3.00 	4.00 	0.05 	0.60 	0.20 	5.20 	0.85 	6.05 	14.00 
II	LVp	19	450	0.30	3.43	24.60	34.20	12.60	4.00	21.00	0.19	9.97	2.00 	3.90 	0.01 	0.30 	0.10 	5.20 	0.41 	5.61 	7.00 
II	LVp	20	475	0.10	3.23	23.70	25.70	24.70	2.10	20.50	0.10	7.96	3.00 	3.90 	0.04 	0.40 	0.10 	5.80 	0.54 	6.34 	9.00 
II	LVp	21	500	0.20	2.83	19.20	27.00	28.00	4.20	18.50	0.23	9.54	3.00 	3.80 	0.01 	0.20 	0.10 	6.40 	0.31 	6.71 	5.00 
II	LVp	22	525	0.20	3.85	16.60	15.90	35.30	2.70	25.50	0.11	4.13	2.00 	3.80 	0.02 	0.20 	0.10 	6.40 	0.32 	6.72 	5.00 
II	LVp	23	550	0.20	3.64	19.00	18.40	32.10	1.00	26.60	0.04	5.05	2.00 	3.80 	0.01 	0.20 	0.10 	6.40 	0.31 	6.71 	5.00 
II	LVp	24	575	0.20	3.64	19.00	18.40	32.10	1.00	26.60	0.04	5.05	2.00 	3.80 	0.01 	0.20 	0.10 	5.80 	0.31 	6.11 	5.00 
II	LVp	25	600	0.20	4.45	23.30	23.30	26.40	1.00	21.40	0.05	5.24	3.00 	4.00 	0.16 	0.50 	0.10 	4.20 	0.76 	4.96 	15.00 
II	LVp	26	625	0.30	4.24	20.60	21.90	27.30	1.20	24.40	0.05	5.17	4.00 	3.80 	0.04 	0.20 	0.10 	5.20 	0.34 	5.54 	6.00 
II	LVp	27	650	0.50	6.14	30.30	20.50	20.20	1.60	20.70	0.08	3.34	4.00 	3.90 	0.08 	0.40 	0.10 	5.20 	0.58 	5.78 	10.00 
II	LVp	28	675	0.40	5.84	28.80	20.60	21.30	1.80	21.40	0.08	3.53	6.00 	4.00 	0.08 	0.60 	0.10 	5.80 	0.78 	6.58 	12.00 
II	LVp	29	700	0.20	5.06	26.20	23.20	22.80	0.60	22.00	0.03	4.58	2.00 	3.80 	0.03 	0.40 	0.10 	5.80 	0.53 	6.33 	8.00 
II	LVp	30	725	0.30	4.43	28.00	31.80	15.10	1.80	18.60	0.10	7.18	3.00 	3.90 	0.10 	0.50 	0.10 	5.20 	0.70 	5.90 	12.00 
II	LVp	31	750	0.30	4.54	25.20	18.50	30.40	0.20	20.90	0.01	4.07	2.00 	4.20 	0.09 	1.00 	0.20 	4.70 	1.29 	5.99 	22.00 
II	LVp	32	775	0.50	7.57	28.30	19.30	20.70	1.70	22.00	0.06	2.55	14.00 	5.00 	0.36 	2.60 	0.70 	3.10 	3.66 	6.76 	54.00 
II	LVp	33	800	0.60	8.18	28.60	13.60	27.90	0.70	20.50	0.03	1.66	106.00 	4.60 	0.33 	2.10 	0.40 	4.70 	2.83 	7.53 	38.00 
II	PV1	34	825	0.60	9.18	30.60	17.00	25.70	1.90	15.10	0.13	1.85	107.00 	4.80 	0.12 	2.70 	0.40 	3.80 	3.22 	7.02 	46.00 
II	PV1	35	850	0.20	6.77	26.30	11.40	34.40	1.90	19.10	0.10	1.68	83.00 	4.70 	0.11 	2.20 	0.40 	3.40 	2.71 	6.11 	44.00 
II	PV1	36	875	0.40	8.29	29.50	20.70	22.70	0.90	17.50	0.05	2.50	120.00 	4.80 	0.14 	2.60 	0.50 	3.80 	3.24 	7.04 	46.00 
II	PV1	37	900	0.40	8.50	28.60	15.60	23.90	2.20	20.80	0.11	1.84	80.00 	5.30 	0.23 	3.80 	0.80 	2.50 	4.83 	7.33 	66.00 
